       0    494.94141 1.0012954e-32    1955.3936    35559.806 
    4400    514.21189    16.293339    3769.2387    35494.262 
    8800    499.20045     32.09358     1582.777    35580.418 
   13200    492.07569    50.202709   -2743.7339    35657.338 
   17600    497.88982     67.52062   -2332.7059    35677.092 
   22000    493.40043    85.363952    787.58534    35580.392 
   26400    496.67912    101.80387   -3861.2946    35659.568 
   30800    512.97493    119.23926    1811.4065    35556.657 
   35200    507.29559     136.1087    1437.9348    35582.625 
   39600    499.91453    153.26885    1718.9393    35561.735 
   44000    500.49438    168.31303    3033.3392    35514.354 
   48400    505.45719    188.76015    975.05078    35586.444 
   52800    488.49039    208.39709   -521.16675    35621.947 
   57200    500.52041     220.3453   -343.68985     35609.07 
   61600    494.48907    240.50815    1230.2652     35599.82 
   66000     499.2538    260.13531   -1912.5664    35632.685 
   70400    504.69963    277.73847   -887.00333    35566.772 
   74800    493.52416    297.70292   -630.53272    35571.293 
   79200    487.12541    311.21952    2385.7396    35584.493 
   83600    496.87898    328.25805   -20.864753    35598.065 
   88000    488.94235    347.75796    610.08346    35601.046 
   92400    486.43539    370.17101   -708.51255    35619.309 
   96800    507.31852    386.47474     248.2594    35598.644 
  101200     497.2721    401.50994    1794.8398    35515.891 
  105600    496.64019    415.88714    1630.1497    35543.319 
  110000    507.45445    430.45978    3529.9402    35526.303 
  114400    492.30355    445.50649    1300.3252     35522.43 
  118800    501.96091     460.7198    -1497.117     35621.37 
  123200    498.87407    479.28084    -1950.104    35655.694 
  127600    493.72539    496.74808   -1492.8564    35556.733 
  132000    499.27073    506.53884    889.88894    35576.647 
  136400     506.0367    521.58789   -851.63126    35624.644 
  140800    477.49106    541.24376   -3672.4657    35671.993 
  145200    502.11993     554.7645    1796.8873    35525.426 
  149600    499.50624    573.45617    3493.4931    35534.737 
  154000    506.63519    589.27996    -2503.707    35664.042 
  158400    504.19573    602.38896    1076.4167    35546.454 
  162800    503.92563    617.83028    2557.8842    35567.063 
  167200    511.63599    631.82515   -742.02204     35619.68 
  171600    483.37575    655.06551    987.69348    35600.688 
  176000    510.62037    677.96429   -749.28876    35611.239 
  180400    506.86058    686.51156    4272.2022    35506.255 
  184800     494.2495    703.69261    1444.6377    35538.196 
  189200    489.66615    715.33733    489.51324    35636.411 
  193600    519.04696    736.52637   -1072.8431    35630.345 
  198000    502.83095    758.95649    2391.0719    35506.752 
  202400    499.28594     774.7591    1294.4573    35572.756 
  206800    518.43447    788.11989    2931.7629    35551.772 
  211200    498.90787    797.38877    3532.0054    35499.983 
  215600    507.85312    818.59002    1894.5876    35572.171 
  220000    502.28111    834.15365    1707.4079    35536.602 
  224400    500.62784    848.38344   -1329.6144    35627.101 
  228800    503.39437    867.51388   -1453.9078    35648.725 
  233200    506.47147     889.0309   -492.10935    35590.355 
  237600     492.6342    911.23004   -3591.4789    35698.538 
  242000    498.77367     922.0069   -1604.0406    35651.615 
  246400    498.05092    936.78304   -268.75172    35613.957 
  250800    495.48138    956.72301   -2504.6765    35557.409 
  255200    512.25283    974.05045    417.12676    35563.961 
  259600    497.88966    985.66246    1003.9464    35599.675 
  264000    486.52587    999.35576   -713.92994    35615.641 
  268400    507.45394    1012.1363    3400.0822    35507.201 
  272800    497.30192    1023.9973    922.73371    35545.079 
  277200    499.38709     1041.813    1031.9945    35568.282 
  281600    513.43507    1063.1542    37.215156    35568.085 
  286000    496.38572    1076.3075    1549.1655     35576.22 
  290400    499.00237    1087.6683    3390.5896     35500.99 
  294800    507.33812     1115.486    1978.0053    35565.687 
  299200    486.05046    1136.3654   -1543.0743    35662.224 
  303600    497.75267    1152.1492   -1534.9218    35623.122 
  308000    491.57507    1172.4405    68.655674    35629.708 
  312400    508.83615    1189.9573   -3010.6332    35645.907 
  316800    495.36739    1203.3773    1151.7847    35554.532 
  321200    508.11963    1222.8703    1422.3071    35603.829 
  325600    500.54835     1224.351    2316.6552    35547.358 
  330000    491.79272    1241.1992   -35.115442    35623.851 
  334400    501.36873    1259.7641    1707.8133    35592.079 
  338800    485.82026    1285.0625   -5998.5978    35718.838 
  343200    496.87675    1297.8633    -265.2042    35658.459 
  347600    500.20855    1319.9846    2089.2145    35515.469 
  352000     490.9834    1342.0475    75.636522    35576.292 
  356400    497.16674    1369.7358   -4363.5925    35753.275 
  360800    491.92921    1384.4305   -363.41021     35570.59 
  365200     484.1242    1405.7781    1197.0649    35586.974 
  369600    497.47779     1416.731   -478.29014    35610.155 
  374000    504.64274    1427.3539    406.18216    35579.324 
  378400    498.30912    1439.7738   -467.34295    35589.879 
  382800    501.39221    1454.9722    -1701.003    35637.694 
  387200    512.58374    1489.3558   -2043.5379    35657.391 
  391600    488.76699      1502.79   -621.33571    35598.612 
  396000     517.2938    1529.2309   -1943.8358    35651.371 
  400400    492.61097    1534.0523    2159.2872     35544.93 
  404800    501.42905     1550.199    1949.4165    35527.653 
